collection	lane	has_fm	st	ty	path
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/security-observability-phase-2.plan.md
observability	future	y	strategic	<none>	.agent/plans/observability/future/sentry-observability-maximisation.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/slo-and-error-budget.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/statuspage-integration.plan.md
product-development-governance	future	y	future	governance-delivery	.agent/plans/product-development-governance/future/deep-plan-estate-survey.plan.md
product-development-governance	future	y	future	governance-delivery	.agent/plans/product-development-governance/future/repo-intent-graph.plan.md
product-development-governance	other	y	future	governance-delivery	.agent/plans/product-development-governance/suggestions/governed-repo-document-graph.plan.md
product-development-governance	other	y	active	governance-execution	.agent/plans/product-development-governance/vision-strategy-and-plan-estate.plan.md
school-data-search	current	y	queued	executable	.agent/plans/school-data-search/current/school-data-search-poc.plan.md
sdk-and-mcp-enhancements	active	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/active/mcp-app-extension-migration.plan.md
sdk-and-mcp-enhancements	active	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/active/schema-resilience-and-response-architecture.plan.md
sdk-and-mcp-enhancements	active	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/active/upstream-api-reference-metadata.plan.md
sdk-and-mcp-enhancements	active	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/active/workspace_topology_exploration.plan.md
sdk-and-mcp-enhancements	active	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/active/ws3-phase-5-interactive-user-search-view.plan.md
sdk-and-mcp-enhancements	other	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/aggregated-tool-result-type-remediation.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/canonical-url-enforcement.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/clerk-mcp-tools-and-ext-apps-bumps.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/download-asset-user-only-url.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/http-mcp-test-suite-improvements.plan.md
sdk-and-mcp-enhancements	current	y	"QUEUED — DRAFT FOR OWNER REVIEW; taxonomy ratification is the owner gate"	<none>	.agent/plans/sdk-and-mcp-enhancements/current/mcp-prompt-grouping-taxonomy.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/meta-oak-namespace-cleanup.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/oak-preview-mcp-snagging-2026-04-23.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/oak-prod-mcp-snagging-2026-06-11.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/output-schemas-for-mcp-tools.plan.md
sdk-and-mcp-enhancements	current	y	current	execution	.agent/plans/sdk-and-mcp-enhancements/current/schema-change-minimal-adaptation.plan.md
sdk-and-mcp-enhancements	current	y	current	<none>	.agent/plans/sdk-and-mcp-enhancements/current/unified-mcp-server-test-harness.plan.md
sdk-and-mcp-enhancements	current	y	current	<none>	.agent/plans/sdk-and-mcp-enhancements/current/upstream-api-v0.7.0-alignment.plan.md
sdk-and-mcp-enhancements	current	y	current	execution	.agent/plans/sdk-and-mcp-enhancements/current/upstream-sequences-api-realignment.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/ws3-contrast-validation-prerequisite.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/ws3-local-widget-development.plan.md
sdk-and-mcp-enhancements	current	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/current/ws3-oak-url-augmentable-codegen-fix.plan.md
sdk-and-mcp-enhancements	future	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/future/mcp-protocol-adoption-roadmap.plan.md
sdk-and-mcp-enhancements	future	n	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/future/mcp-tool-token-economy-and-progressive-discovery.plan.md
sdk-and-mcp-enhancements	future	y	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/future/post-merge-tidy-up.plan.md
sdk-and-mcp-enhancements	future	y	decided	<none>	.agent/plans/sdk-and-mcp-enhancements/future/retire-curriculum-sdk-api-md.plan.md
sdk-and-mcp-enhancements	future	n	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/future/upstream-spec-change-automation.plan.md
sdk-and-mcp-enhancements	future	n	<none>	<none>	.agent/plans/sdk-and-mcp-enhancements/future/ws2-ws3-pedagogical-review-checkpoint.plan.md
sector-engagement	current	y	current	<none>	.agent/plans/sector-engagement/current/sector-reusable-components-adoption.plan.md
sector-engagement	current	y	completed	executable	.agent/plans/sector-engagement/eef/current/eef-d5-execution.plan.md
sector-engagement	current	y	current	executable	.agent/plans/sector-engagement/eef/current/eef-d6-execution.plan.md
sector-engagement	current	y	current	executable	.agent/plans/sector-engagement/eef/current/eef-graph-tool-completion.plan.md
sector-engagement	current	y	completed	seed	.agent/plans/sector-engagement/eef/current/eef-revalidate-on-new-graph-tools.plan.md
sector-engagement	future	y	future	evaluation-infrastructure	.agent/plans/sector-engagement/eef/future/eef-outcome-evaluation-infrastructure.plan.md
sector-engagement	future	y	future	seed	.agent/plans/sector-engagement/eef/future/eef-school-leadership-evidence.plan.md
sector-engagement	future	y	future	seed	.agent/plans/sector-engagement/eef/future/eef-standalone-evidence-workflows.plan.md
sector-engagement	future	y	future	seed	.agent/plans/sector-engagement/eef/future/eef-tool-metric-filter-inputs.plan.md
sector-engagement	future	y	future	seed	.agent/plans/sector-engagement/future/dfe-data-sdk.plan.md
sector-engagement	future	y	future	<none>	.agent/plans/sector-engagement/future/oak-openapi-monorepo-integration.plan.md
sector-engagement	future	y	future	<none>	.agent/plans/sector-engagement/knowledge-graph-adoption/future/oak-knowledge-graph-external-adoption.plan.md
security-and-privacy	future	n	<none>	<none>	.agent/plans/security-and-privacy/future/cloudflare-mcp-public-beta-security-gate.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/bulk-metadata-quick-wins.execution.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/keyword-definition-assets.execution.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/m2-public-alpha-auth-rate-limits.execution.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/search-contract-followup.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/search-sdk-args-extraction.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/semantic-search-scheduled-refresh.operations.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/sequence-retrieval-architecture-followup.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/thread-sequence-semantic-surfaces.execution.plan.md
semantic-search	current	y	<none>	<none>	.agent/plans/semantic-search/current/unified-versioned-ingestion.plan.md
semantic-search	future	y	<none>	<none>	.agent/plans/semantic-search/future/bulk-canonical-merge-api-parity-and-validation.execution.plan.md
semantic-search	future	y	<none>	<none>	.agent/plans/semantic-search/future/search-ingestion-sdk-extraction.execution.plan.md
user-experience	current	y	current	executable	.agent/plans/user-experience/educator-end-users/current/app-submission-standards.plan.md
user-experience	current	y	current	executable	.agent/plans/user-experience/educator-end-users/current/external-facing-capability-distribution.plan.md
user-experience	current	y	current	executable	.agent/plans/user-experience/educator-end-users/current/oak-skills-ingest-and-resurfacing.plan.md
user-experience	current	y	current	executable	.agent/plans/user-experience/educator-end-users/current/plugin-package-creation.plan.md
user-experience	current	y	ready-for-execution	<none>	.agent/plans/user-experience/educator-end-users/current/position-anchored-teaching-continuity.plan.md
user-experience	future	y	future	strategic	.agent/plans/user-experience/educator-end-users/future/plugin-bundle-distribution.plan.md
user-experience	current	y	<none>	<none>	.agent/plans/user-experience/engineering-end-users/current/search-sdk-github-release-asset-distribution.execution.plan.md
agent-tooling	current	y	current	developer-experience	.agent/plans/agent-tooling/current/agent-experience-improvement.plan.md
agent-tooling	current	y	current	developer-experience	.agent/plans/agent-tooling/current/coordination-watcher-canonicalisation.plan.md
agent-tooling	future	y	future	developer-experience	.agent/plans/agent-tooling/future/agent-frustration-corpus-survey.plan.md
agent-tooling	future	y	future	developer-experience	.agent/plans/agent-tooling/future/coordination-home-explicit-targeting-migration.plan.md
agent-tooling	future	y	future	developer-experience	.agent/plans/agent-tooling/future/peer-heartbeat-silence-alerting.plan.md
